source layer,destination layer,mean transfer entropy,standard deviation transfer entropy,number of significant links
Layer 23,Layer 23,0.06912101159875406,0.11009551462054687,1
Layer 23,Layer 4,0.025931672120667368,0.0772666258276486,1
Layer 23,Layer 5,0.023181109446499194,0.09695245528417731,1
Layer 23,Layer 6,0.01172822076945985,0.07970555568254893,0
Layer 4,Layer 23,0.10790260934824773,0.1862650887016389,2
Layer 4,Layer 4,0.031498521231833,0.10911407827364354,1
Layer 4,Layer 5,0.0270221500766182,0.08790298379247874,3
Layer 4,Layer 6,0.02376313581343148,0.1572185455625226,3
Layer 5,Layer 23,0.26433221746719154,0.3943212631515644,17
Layer 5,Layer 4,0.2952448846747614,0.5004047983298969,11
Layer 5,Layer 5,0.16012775743726376,0.4280463482348596,37
Layer 5,Layer 6,0.12198567094445945,0.40391175648143257,33
Layer 6,Layer 23,0.15429434351011204,0.16939904578531106,11
Layer 6,Layer 4,0.10054683662252915,0.2591680298443935,4
Layer 6,Layer 5,0.11645153462568279,0.29161591910365353,21
Layer 6,Layer 6,0.18531750527945096,0.3864400747803457,38
