source layer,destination layer,mean transfer entropy,standard deviation transfer entropy,number of significant links
Layer 23,Layer 23,0.17147459786824332,0.5301267370742798,1
Layer 23,Layer 4,0.23848898634694704,0.5605404082475107,5
Layer 23,Layer 5,0.0614675001917351,0.19733467031279897,11
Layer 23,Layer 6,0.0068517809935866895,0.05123623668840824,1
Layer 4,Layer 23,0.3985755590710279,0.8387058615195363,7
Layer 4,Layer 4,0.3556995158645667,0.7224051605493366,15
Layer 4,Layer 5,0.15177570980673696,0.3840772791478044,23
Layer 4,Layer 6,0.11177607195139695,0.5001864441004521,6
Layer 5,Layer 23,0.16970926460357735,0.39490751583085987,7
Layer 5,Layer 4,0.1761194880779983,0.45092889763723987,15
Layer 5,Layer 5,0.07112715821860877,0.19582046820773477,32
Layer 5,Layer 6,0.035856607501311165,0.2092367484034751,4
Layer 6,Layer 23,0.2635744664075411,0.6606216493810818,7
Layer 6,Layer 4,0.30671412720085917,0.7279834168873976,14
Layer 6,Layer 5,0.14337871779605063,0.38512680375010955,31
Layer 6,Layer 6,0.06944203071993109,0.3386737016539663,10
